OBJECTID_1,OBJECTID,PLANNING_D,ID,PD,bragis92BRAEDITORBos_Districts_PlanningAREA,SHAPESTArea,SHAPESTLength
1,1,1, 1,East Boston,132161879.614259,132161880.857166,127431.241659952
2,2,2, 2,Charlestown,38513728.3479552,38513727.826533,56156.2696643794
3,3,3, 3,South Boston,85759845.2476837,85759845.3088126,89461.981964119
4,4,4, 4,Central,35972208.3193799,35972208.309494,51791.0184249985
5,5,5, 5,Back Bay/Beacon Hill,25420697.8709117,25420697.8821707,39404.7515588006
6,6,6, 6,South End,28683649.0072564,28683649.106091,23235.6186314577
7,7,7, 7,Fenway/Kenmore,34202025.2022747,34202025.2784508,32410.1567526332
8,8,8, 8,Allston/Brighton,123773242.397201,123773242.257223,59547.2330298959
9,9,9, 9,Jamaica Plain,88280870.0467478,88280870.3862711,55379.1565496104
10,10,10,10,Roxbury,109292612.151776,109292612.847397,50560.0333960564
11,11,11,11,North Dorchester,58452544.9018535,58452544.872155,52093.2275393462
12,12,12,12,South Dorchester,111903921.839725,111903922.086451,66867.7050825031
13,13,13,13,Mattapan,78088535.837768,78088536.0896674,44658.0088460352
14,14,14,14,Roslindale,102988631.66868,102988631.517683,61876.0567449468
15,15,15,15,West Roxbury,151568158.228392,151568160.526493,66813.814349958
16,16,16,16,Hyde Park,123056623.947905,123056624.854345,73416.9299932893
17,17,17,17,Harbor Islands,36359144.5250794,36359144.8545724,90694.1392008538
